TAZ,CountyFIPS,StateFIPS,LEmp,n2,PctEmp,CumPctEmp,EmpRank
3407,71,1,1404,61,1,1,10
3407,71,1,1671,62,1,1,10
3407,71,1,53,71,1,1,10
3407,71,1,1109,72,1,1,10
3407,71,1,193,81,1,1,10
3407,71,1,800,92,1,1,10
3407,71,1,5447,3133,1,1,10
3407,71,1,2277,4445,1,1,10
3407,71,1,422,4849,1,1,10
0,73,1,0,11,0,0,1
3,73,1,0,11,0,0,1
3362,73,1,0,11,0,0,1
3373,73,1,0,11,0,0,1
1,73,1,8,11,0.145454545454545,0.145454545454545,2
6,73,1,16,11,0.290909090909091,0.436363636363636,5
2,73,1,31,11,0.563636363636364,1,10
3362,73,1,0,21,0,0,1
3373,73,1,0,21,0,0,1
0,73,1,43,21,0.0300069783670621,0.0300069783670621,1
1,73,1,93,21,0.0648988136775995,0.0949057920446616,1
6,73,1,97,21,0.0676901605024424,0.162595952547104,2
2,73,1,124,21,0.0865317515701326,0.249127704117237,3
3,73,1,1076,21,0.750872295882763,1,10
3362,73,1,0,22,0,0,1
3373,73,1,0,22,0,0,1
6,73,1,156,22,0.0261175288799598,0.0261175288799598,1
0,73,1,234,22,0.0391762933199397,0.0652938221998995,1
3,73,1,239,22,0.0400133936045538,0.105307215804453,2
2,73,1,451,22,0.0755064456721915,0.180813661476645,2
1,73,1,4893,22,0.819186338523355,1,10
3362,73,1,0,23,0,0,1
3373,73,1,0,23,0,0,1
0,73,1,1062,23,0.0665788978747414,0.0665788978747414,1
3,73,1,2011,23,0.126073600401229,0.19265249827597,2
2,73,1,3336,23,0.209140492759075,0.401792991035045,5
1,73,1,4671,23,0.292834305059244,0.694627296094289,7
6,73,1,4871,23,0.305372703905711,1,10
3362,73,1,0,42,0,0,1
3373,73,1,0,42,0,0,1
0,73,1,2247,42,0.114339507429269,0.114339507429269,2
2,73,1,2879,42,0.146499084062691,0.26083859149196,3
3,73,1,3098,42,0.157642987991044,0.418481579483004,5
1,73,1,5217,42,0.265469163443924,0.683950742926929,7
6,73,1,6211,42,0.316049257073072,1,10
3362,73,1,0,51,0,0,1
3373,73,1,0,51,0,0,1
0,73,1,142,51,0.0182097973839446,0.0182097973839446,1
2,73,1,241,51,0.0309053603488074,0.049115157732752,1
3,73,1,630,51,0.0807899461400359,0.129905103872788,2
1,73,1,1949,51,0.249935880995127,0.379840984867915,4
6,73,1,4836,51,0.620159015132085,1,10
3362,73,1,0,52,0,0,1
3373,73,1,0,52,0,0,1
0,73,1,458,52,0.0186923516447637,0.0186923516447637,1
2,73,1,916,52,0.0373847032895274,0.0560770549342911,1
3,73,1,2140,52,0.0873398089951841,0.143416863929475,2
1,73,1,8015,52,0.327116153783365,0.47053301771284,5
6,73,1,12973,52,0.52946698228716,1,10
3362,73,1,0,53,0,0,1
3373,73,1,0,53,0,0,1
0,73,1,227,53,0.0417893961708395,0.0417893961708395,1
