fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
23,19,722310,C,D,0,D,0,D,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,11,19
23,19,72232/,B,D,0,D,0,D,0,6,3,2,0,1,0,0,0,0,0,0,0,0,0,11,19
23,19,722320,B,D,0,D,0,D,0,6,3,2,0,1,0,0,0,0,0,0,0,0,0,11,19
23,19,72233/,A,D,0,D,0,D,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,722330,A,D,0,D,0,D,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,7224//,,G,122,G,328,G,1532,15,6,3,5,1,0,0,0,0,0,0,0,0,0,11,19
23,19,72241/,,G,122,G,328,G,1532,15,6,3,5,1,0,0,0,0,0,0,0,0,0,11,19
23,19,722410,,G,122,G,328,G,1532,15,6,3,5,1,0,0,0,0,0,0,0,0,0,11,19
23,19,7225//,,G,4618,G,15138,G,65341,246,57,42,67,59,19,2,0,0,0,0,0,0,0,11,19
23,19,72251/,,G,4618,G,15138,G,65341,246,57,42,67,59,19,2,0,0,0,0,0,0,0,11,19
23,19,722511,,G,2599,G,9401,G,40409,118,26,21,27,29,13,2,0,0,0,0,0,0,0,11,19
23,19,722513,,G,1585,G,4447,G,18640,93,23,17,25,22,6,0,0,0,0,0,0,0,0,11,19
23,19,722514,A,D,0,D,0,D,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,722515,,G,427,G,1281,G,6248,34,8,3,15,8,0,0,0,0,0,0,0,0,0,11,19
23,19,81----,,G,1899,G,11409,G,48848,383,252,85,32,12,2,0,0,0,0,0,0,0,0,11,19
23,19,811///,,G,566,G,4447,G,19032,133,92,29,8,4,0,0,0,0,0,0,0,0,0,11,19
23,19,8111//,,G,489,G,3735,G,16069,105,68,26,7,4,0,0,0,0,0,0,0,0,0,11,19
23,19,81111/,,G,329,G,2434,G,10491,69,45,16,5,3,0,0,0,0,0,0,0,0,0,11,19
23,19,811111,,G,311,G,2287,G,9924,62,39,15,5,3,0,0,0,0,0,0,0,0,0,11,19
23,19,811113,A,S,0,H,101,H,389,3,2,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,811118,A,D,0,D,0,D,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,81112/,C,D,0,D,0,D,0,27,20,5,1,1,0,0,0,0,0,0,0,0,0,11,19
23,19,811121,B,D,0,D,0,D,0,16,11,3,1,1,0,0,0,0,0,0,0,0,0,11,19
